# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
3562at7147	Duplicated	ptg000190l	1445410	1491018	+	2332	664	https://www.orthodb.org/v10?query=3562at7147	Immunoglobulin-like domain
3562at7147	Duplicated	ptg000521l	1873309	1913991	+	2331	664	https://www.orthodb.org/v10?query=3562at7147	Immunoglobulin-like domain
4451at7147	Duplicated	ptg000574l	2370058	2401717	-	3291	770	https://www.orthodb.org/v10?query=4451at7147	RRP12-like protein
4451at7147	Duplicated	ptg000150l	2236650	2284182	-	3271	770	https://www.orthodb.org/v10?query=4451at7147	RRP12-like protein
11268at7147	Duplicated	ptg000486l	3102737	3143850	-	2240	440	https://www.orthodb.org/v10?query=11268at7147	WD40-repeat-containing domain
11268at7147	Duplicated	ptg000261l	1520011	1563604	-	2245	440	https://www.orthodb.org/v10?query=11268at7147	WD40-repeat-containing domain
11268at7147	Duplicated	ptg000486l	3102737	3143850	-	2244	440	https://www.orthodb.org/v10?query=11268at7147	WD40-repeat-containing domain
13896at7147	Duplicated	ptg000190l	265910	272907	-	1830	445	https://www.orthodb.org/v10?query=13896at7147	lysophospholipid acyltransferase 1
13896at7147	Duplicated	ptg000521l	652689	659544	-	1800	445	https://www.orthodb.org/v10?query=13896at7147	lysophospholipid acyltransferase 1
41136at7147	Duplicated	ptg000256l	3617610	3630574	+	1608	349	https://www.orthodb.org/v10?query=41136at7147	FAD/NAD(P)-binding domain
41136at7147	Duplicated	ptg000412l	770061	786786	-	1602	349	https://www.orthodb.org/v10?query=41136at7147	FAD/NAD(P)-binding domain
29754at7147	Duplicated	ptg000486l	1991809	1992961	+	1582	297	https://www.orthodb.org/v10?query=29754at7147	tRNA pseudouridine synthase
29754at7147	Duplicated	ptg000261l	498038	499190	+	1580	297	https://www.orthodb.org/v10?query=29754at7147	tRNA pseudouridine synthase
597at7147	Duplicated	ptg000340l	3420613	3450311	-	9219	1777	https://www.orthodb.org/v10?query=597at7147	Translational activator gcn1
597at7147	Duplicated	ptg000013l	9995037	10030304	+	9210	1779	https://www.orthodb.org/v10?query=597at7147	Translational activator gcn1
62712at7147	Duplicated	ptg000667l	107646	108087	+	525	116	https://www.orthodb.org/v10?query=62712at7147	uncharacterized protein LOC111592775
62712at7147	Duplicated	ptg000016l	1297072	1297513	+	525	116	https://www.orthodb.org/v10?query=62712at7147	uncharacterized protein LOC111592775
28361at7147	Duplicated	ptg000393l	510558	560758	-	1413	329	https://www.orthodb.org/v10?query=28361at7147	carboxypeptidase B
28361at7147	Duplicated	ptg000550l	1038699	1081972	+	1425	329	https://www.orthodb.org/v10?query=28361at7147	carboxypeptidase B
10392at7147	Duplicated	ptg000356l	2248096	2479081	-	4650	250	https://www.orthodb.org/v10?query=10392at7147	SH3 domain
10392at7147	Duplicated	ptg000073l	7639801	7828353	-	4615	250	https://www.orthodb.org/v10?query=10392at7147	SH3 domain
12498at7147	Duplicated	ptg000201l	5191601	5244966	-	3205	692	https://www.orthodb.org/v10?query=12498at7147	Mitogen-activated protein kinase kinase kinase kinase
12498at7147	Duplicated	ptg000184l	1008840	1098934	+	3164	692	https://www.orthodb.org/v10?query=12498at7147	Mitogen-activated protein kinase kinase kinase kinase
44830at7147	Complete	ptg000443l	6470691	6473071	-	1224	307	https://www.orthodb.org/v10?query=44830at7147	Zinc finger, CCCH-type
4541at7147	Duplicated	ptg000169l	26650837	26692414	-	3588	868	https://www.orthodb.org/v10?query=4541at7147	ubiquitin-protein ligase E3B
4541at7147	Duplicated	ptg000038l	3164513	3197530	+	3581	868	https://www.orthodb.org/v10?query=4541at7147	ubiquitin-protein ligase E3B
36970at7147	Duplicated	ptg000188l	955590	956526	+	1404	268	https://www.orthodb.org/v10?query=36970at7147	Cysteine peptidase, cysteine active site
36970at7147	Duplicated	ptg000544l	1661705	1662641	-	1402	268	https://www.orthodb.org/v10?query=36970at7147	Cysteine peptidase, cysteine active site
19016at7147	Duplicated	ptg000060l	1617191	1648288	-	1808	442	https://www.orthodb.org/v10?query=19016at7147	Ankyrin repeat-containing domain
19016at7147	Duplicated	ptg000067l	5039139	5065005	+	1804	442	https://www.orthodb.org/v10?query=19016at7147	Ankyrin repeat-containing domain
4145at7147	Duplicated	ptg000022l	4293042	4380017	+	3270	898	https://www.orthodb.org/v10?query=4145at7147	Cation-transporting ATPase
4145at7147	Duplicated	ptg000157l	7454889	7498033	+	3279	898	https://www.orthodb.org/v10?query=4145at7147	Cation-transporting ATPase
50746at7147	Duplicated	ptg000432l	7658629	7664937	-	865	214	https://www.orthodb.org/v10?query=50746at7147	iron-sulfur protein NUBPL
50746at7147	Duplicated	ptg000046l	8834597	8847092	+	861	214	https://www.orthodb.org/v10?query=50746at7147	iron-sulfur protein NUBPL
34725at7147	Duplicated	ptg000093l	2387197	2427972	-	1207	313	https://www.orthodb.org/v10?query=34725at7147	lipoyltransferase 1, mitochondrial
34725at7147	Duplicated	ptg000448l	2464976	2495131	-	1204	313	https://www.orthodb.org/v10?query=34725at7147	lipoyltransferase 1, mitochondrial
12185at7147	Duplicated	ptg000157l	3995985	4040002	-	2432	801	https://www.orthodb.org/v10?query=12185at7147	Peroxisome biogenesis factor 1
12185at7147	Duplicated	ptg000022l	600080	652275	-	2405	801	https://www.orthodb.org/v10?query=12185at7147	Peroxisome biogenesis factor 1
49323at7147	Duplicated	ptg000415l	1654101	1716750	+	838	248	https://www.orthodb.org/v10?query=49323at7147	1-acyl-sn-glycerol-3-phosphate acyltransferase
49323at7147	Duplicated	ptg000686l	479728	533830	+	838	248	https://www.orthodb.org/v10?query=49323at7147	1-acyl-sn-glycerol-3-phosphate acyltransferase
31703at7147	Duplicated	ptg000301l	6543740	6552876	+	2048	436	https://www.orthodb.org/v10?query=31703at7147	protein disulfide-isomerase A5
31703at7147	Duplicated	ptg000068l	1182299	1194641	+	2045	436	https://www.orthodb.org/v10?query=31703at7147	protein disulfide-isomerase A5
59651at7147	Duplicated	ptg000013l	19875389	19875851	-	536	132	https://www.orthodb.org/v10?query=59651at7147	NADH dehydrogenase 
59651at7147	Duplicated	ptg000386l	423422	423884	+	534	132	https://www.orthodb.org/v10?query=59651at7147	NADH dehydrogenase 
63495at7147	Duplicated	ptg000369l	2330327	2359943	-	682	137	https://www.orthodb.org/v10?query=63495at7147	Homeobox domain
63495at7147	Duplicated	ptg000039l	667969	692509	-	682	137	https://www.orthodb.org/v10?query=63495at7147	Homeobox domain
51359at7147	Duplicated	ptg000680l	804833	907201	-	1026	434	https://www.orthodb.org/v10?query=51359at7147	CRIB domain
51359at7147	Duplicated	ptg000275l	811214	899673	-	1033	434	https://www.orthodb.org/v10?query=51359at7147	CRIB domain
25717at7147	Complete	ptg000174l	5671429	5689944	-	1526	443	https://www.orthodb.org/v10?query=25717at7147	HAUS augmin-like complex subunit 3
7171at7147	Duplicated	ptg000312l	2393509	2444917	+	3341	726	https://www.orthodb.org/v10?query=7171at7147	Glycoside hydrolase family 31
7171at7147	Duplicated	ptg000034l	1393050	1430271	-	3329	726	https://www.orthodb.org/v10?query=7171at7147	Glycoside hydrolase family 31
71034at7147	Duplicated	ptg000106l	5806428	5806861	-	250	91	https://www.orthodb.org/v10?query=71034at7147	NADH
71034at7147	Duplicated	ptg000171l	6019311	6019744	-	250	91	https://www.orthodb.org/v10?query=71034at7147	NADH
29095at7147	Duplicated	ptg000290l	1718800	1723416	+	1150	352	https://www.orthodb.org/v10?query=29095at7147	ATPase, AAA-type, conserved site
29095at7147	Duplicated	ptg000575l	2964291	2968280	+	1145	352	https://www.orthodb.org/v10?query=29095at7147	ATPase, AAA-type, conserved site
