Gene	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	Identity	Fraction	Frameshift events	Best gene	Codons
11078at7147	Duplicated	ptg000052l_1	846143	858554	-	3805	702	0.7524	1.0	0	11078at7147	857861_858554_-|847633_848432_-|847379_847573_-|846144_847319_-
11078at7147	Duplicated	ptg000070l_1	321149	337184	+	3814	702	0.7521	1.0	0	11078at7147	321150_321840_+|334896_335695_+|335755_335949_+|336009_337184_+
4451at7147	Duplicated	ptg000454l_1	528930	543511	+	3293	770	0.4909	0.9449213161659513	0	4451at7147	528931_529413_+|529528_531716_+|541740_541899_+|541964_542203_+|542338_542740_+|542803_543340_+|543406_543511_+
4451at7147	Duplicated	ptg000398l_1	212341	229838	+	3249	770	0.4754	0.9449213161659513	0	4451at7147	212342_212824_+|212943_215131_+|228069_228228_+|228293_229070_+|229133_229670_+|229733_229838_+
11268at7147	Single	ptg000148l_1	10015927	10055568	+	2248	442	0.6891	0.5535224153705398	0	11268at7147	10015928_10016191_+|10035274_10035543_+|10035614_10035765_+|10042609_10042706_+|10052143_10052269_+|10052334_10052567_+|10053141_10053694_+|10055390_10055568_+
5446at7147	Single	ptg000109l_1	2685838	2713509	-	2260	652	0.4434	1.0	0	5446at7147	2713422_2713509_-|2713175_2713350_-|2711829_2712983_-|2711501_2711711_-|2687806_2688095_-|2686893_2687676_-|2686283_2686821_-|2685839_2686117_-
13896at7147	Single	ptg000392l_1	2642874	2649013	-	1771	445	0.5743	0.9964349376114082	0	13896at7147	2648330_2649013_-|2648132_2648270_-|2643335_2644109_-|2642875_2643208_-
35253at7147	Single	ptg000218l_1	4435833	4440363	-	1816	439	0.5353	0.9584569732937686	0	35253at7147	4440223_4440363_-|4440022_4440154_-|4438915_4439614_-|4438542_4438847_-|4436353_4436893_-|4435834_4436049_-
13275at7147	Single	ptg000140l_1	5193585	5247947	-	2165	504	0.5676	0.9640287769784173	0	13275at7147	5247877_5247947_-|5206039_5206149_-|5205756_5205927_-|5204189_5205031_-|5203869_5204127_-|5203622_5203797_-|5203361_5203556_-|5193586_5193914_-
73585at7147	Single	ptg000015l_1	10881758	10896451	+	520	102	0.7984	0.9669421487603306	0	73585at7147	10881759_10881995_+|10896317_10896451_+
28361at7147	Single	ptg000308l_1	3222438	3255343	-	1429	329	0.5275	0.9662921348314607	0	28361at7147	3255109_3255343_-|3239114_3239482_-|3222744_3223411_-|3222439_3222678_-
44830at7147	Single	ptg000214l_1	3512753	3523293	+	1198	307	0.7018	0.6254681647940075	0	44830at7147	3512754_3512828_+|3512925_3513365_+|3522573_3522941_+|3523162_3523293_+
38703at7147	Duplicated	ptg000374l_1	546800	548237	-	1151	301	0.6181	0.9119170984455959	0	38703at7147	548162_548237_-|547948_548065_-|546801_547698_-
38703at7147	Duplicated	ptg000085l_1	121466	123110	+	1151	301	0.6181	0.9119170984455959	0	38703at7147	121467_121542_+|121635_121752_+|122213_123110_+
4541at7147	Single	ptg000069l_1	6651925	6665431	+	3523	868	0.6108	1.0	0	4541at7147	6651926_6652089_+|6652146_6652570_+|6652630_6653773_+|6653832_6654833_+|6664735_6664864_+|6664929_6665093_+|6665150_6665431_+
36970at7147	Single	ptg000244l_1	3343989	3344925	-	1410	268	0.7821	0.9395770392749244	0	36970at7147	3343990_3344925_-
19016at7147	Single	ptg000194l_1	20864040	20881787	+	1808	436	0.6216	1.0	0	19016at7147	20864041_20864139_+|20872098_20872230_+|20880302_20881381_+|20881447_20881787_+
34725at7147	Single	ptg000255l_1	181009	200150	-	1204	313	0.6629	0.899736147757256	0	34725at7147	199746_200150_-|191232_191339_-|181613_181716_-|181234_181507_-|181010_181162_-
71381at7147	Single	ptg000193l_1	4950257	4950744	+	559	95	0.906	1.0	0	71381at7147	4950258_4950310_+|4950381_4950470_+|4950537_4950744_+
12185at7147	Single	ptg000302l_1	1714846	1749356	-	2398	804	0.4724	1.0	0	12185at7147	1749264_1749356_-|1735946_1736173_-|1735771_1735885_-|1735480_1735712_-|1734348_1735213_-|1733977_1734235_-|1733593_1733915_-|1732843_1733534_-|1723262_1723441_-|1714989_1715092_-|1714847_1714913_-
40707at7147	Single	ptg000203l_1	3951079	3953084	+	1430	328	0.634	0.9617117117117117	0	40707at7147	3951080_3951171_+|3951911_3953084_+
52490at7147	Single	ptg000148l_1	9311826	9327978	-	1093	210	0.7849	0.6212871287128713	0	52490at7147	9327886_9327978_-|9312278_9312550_-|9311827_9312213_-
21142at7147	Single	ptg000333l_1	496428	557214	+	2310	437	0.8192	0.8860971524288107	0	21142at7147	496429_496530_+|510900_510939_+|543508_543915_+|543987_544335_+|544406_544679_+|544758_544844_+|544909_545085_+|556934_557102_+|557174_557214_+
