Gene	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	Identity	Fraction	Frameshift events	Best gene	Codons
8929at7147	Single	hap_ptg000238l_1	3886858	3963603	+	1400	339	0.3902	1.0	0	8929at7147	3886859_3887224_+|3924126_3924199_+|3924278_3924397_+|3946549_3946681_+|3946806_3946986_+|3947066_3947506_+|3955927_3956366_+|3956682_3956977_+|3961432_3961767_+|3961881_3962008_+|3962495_3962618_+|3962706_3962835_+|3963485_3963603_+
45641at7147	Single	hap_ptg000275l_1	2238841	2239769	+	1126	234	0.7285	1.0	0	45641at7147	2238842_2238886_+|2238951_2239769_+
11268at7147	Single	hap_ptg000209l_1	1149158	1191266	+	2248	442	0.6891	0.5535224153705398	0	11268at7147	1149159_1149422_+|1165927_1166196_+|1166267_1166418_+|1172412_1172509_+|1188970_1189096_+|1189161_1189394_+|1189807_1190360_+|1191088_1191266_+
13896at7147	Single	hap_ptg000419l_1	2620664	2625967	-	1811	445	0.5962	0.9964349376114082	0	13896at7147	2625693_2625967_-|2625285_2625627_-|2625087_2625225_-|2621125_2621899_-|2620665_2620998_-
8033at7147	Single	hap_ptg000007l_1	2094921	2142663	+	4093	603	0.6934	1.0	0	8033at7147	2094922_2095085_+|2095260_2095403_+|2111803_2111874_+|2111937_2112008_+|2112824_2112892_+|2118920_2119261_+|2119351_2119416_+|2119510_2119653_+|2119839_2119910_+|2132345_2132643_+|2133581_2135217_+|2139325_2139340_+|2142275_2142663_+
28361at7147	Single	hap_ptg000252l_1	1695097	1747959	-	1473	329	0.5416	0.9662921348314607	0	28361at7147	1747721_1747959_-|1734756_1734949_-|1723662_1723850_-|1695402_1696069_-|1695098_1695337_-
44830at7147	Single	hap_ptg000238l_1	2135934	2160195	-	1715	307	0.6259	1.0	0	44830at7147	2160121_2160195_-|2159584_2160024_-|2151186_2151554_-|2150831_2150965_-|2137510_2137824_-|2136204_2136326_-|2135935_2136147_-
4541at7147	Single	hap_ptg000462l_1	574756	603079	-	3529	868	0.6126	1.0	0	4541at7147	602916_603079_-|601636_602060_-|600433_601576_-|599369_600370_-|575324_575453_-|575095_575259_-|574757_575038_-
36970at7147	Single	hap_ptg000272l_1	2389791	2390727	-	1406	268	0.7788	0.9395770392749244	0	36970at7147	2389792_2390727_-
19016at7147	Single	hap_ptg000077l_1	72964	92472	-	1776	436	0.5979	1.0	0	19016at7147	92374_92472_-|80292_80424_-|72965_74451_-
52490at7147	Single	hap_ptg000209l_1	442824	452730	-	1093	210	0.7849	0.6212871287128713	0	52490at7147	452638_452730_-|443276_443548_-|442825_443211_-
31703at7147	Single	hap_ptg000624l_1	643127	651291	-	2037	436	0.6049	0.7774834437086092	0	31703at7147	650887_651291_-|650109_650329_-|649614_650052_-|643824_643965_-|643128_643762_-
59651at7147	Single	hap_ptg000370l_1	1370088	1370523	+	536	132	0.669	0.8430232558139535	0	59651at7147	1370089_1370523_+
63495at7147	Single	hap_ptg000401l_1	1847834	1873096	-	681	137	0.6786	0.9849246231155779	0	63495at7147	1872922_1873096_-|1858370_1858584_-|1847835_1848020_-
23039at7147	Single	hap_ptg000018l_1	3463624	3465263	-	1546	407	0.5485	1.0	0	23039at7147	3465084_3465263_-|3463821_3465021_-|3463625_3463758_-
29095at7147	Single	hap_ptg000048l_1	2319121	2329353	+	1155	354	0.5748	0.7290552584670231	0	29095at7147	2319122_2319280_+|2328232_2329353_+
72346at7147	Single	hap_ptg000127l_1	8078146	8089640	+	698	137	0.6171	1.0	0	72346at7147	8078147_8078377_+|8079312_8079546_+|8085436_8085600_+|8089525_8089640_+
12959at7147	Single	hap_ptg000228l_1	9240255	9245643	+	1438	528	0.4697	0.550561797752809	0	12959at7147	9240256_9241860_+|9245296_9245643_+
8406at7147	Single	hap_ptg000259l_1	6784716	6825888	+	2568	584	0.5993	0.9407158836689038	0	8406at7147	6784717_6784875_+|6785109_6785282_+|6812960_6813077_+|6813143_6813240_+|6813313_6813436_+|6822711_6822808_+|6822869_6823045_+|6823106_6823219_+|6823291_6823516_+|6823581_6823686_+|6823743_6823940_+|6824372_6825283_+|6825347_6825426_+|6825800_6825888_+
12554at7147	Single	hap_ptg000304l_1	3542707	3615432	-	2741	599	0.7159	0.971830985915493	0	12554at7147	3615136_3615432_-|3602003_3602887_-|3601691_3601931_-|3601470_3601618_-|3583091_3583238_-|3582766_3582906_-|3542708_3542898_-
18587at7147	Single	hap_ptg000284l_1	4659744	4665657	-	1807	722	0.3708	0.8310204081632653	0	18587at7147	4665316_4665657_-|4665029_4665256_-|4662536_4663175_-|4661532_4662475_-|4660908_4661101_-|4660421_4660847_-|4660180_4660359_-|4659745_4660029_-
37963at7147	Single	hap_ptg000334l_1	865390	867290	-	1790	494	0.5747	0.38509705698184094	0	37963at7147	865808_867290_-|865391_865725_-
24200at7147	Single	hap_ptg000237l_1	881173	928947	+	3135	485	0.5353	0.9318755256518082	0	24200at7147	881174_882247_+|891557_891970_+|892036_892165_+|893859_893946_+|908098_908452_+|921206_921455_+|921518_922260_+|928669_928947_+
24754at7147	Single	hap_ptg000017l_1	3721193	3723628	+	1416	499	0.4459	0.48180494905385735	0	24754at7147	3721194_3721538_+|3721646_3722447_+|3722521_3722807_+|3723005_3723628_+
59303at7147	Single	hap_ptg000018l_1	3585527	3592691	-	876	164	0.9348	0.5068870523415978	0	59303at7147	3592469_3592691_-|3592083_3592269_-|3585528_3585669_-
3841at7147	Single	hap_ptg000283l_1	1107710	1166784	-	4242	870	0.4704	1.0	0	3841at7147	1166461_1166784_-|1143503_1143701_-|1143114_1143424_-|1142901_1143044_-|1138129_1138204_-|1137951_1138042_-|1136665_1137723_-|1134408_1134499_-|1133290_1134218_-|1132973_1133218_-|1132753_1132907_-|1132510_1132678_-|1132141_1132247_-|1131866_1131998_-|1129412_1130904_-|1127345_1128232_-|1107711_1107860_-
27220at7147	Single	hap_ptg000183l_1	4649073	4665907	-	1251	461	0.4011	0.9914529914529915	0	27220at7147	4664852_4665907_-|4652238_4653002_-|4649187_4649494_-|4649074_4649125_-
48479at7147	Single	hap_ptg000066l_1	601806	602530	-	755	188	0.638	0.8438818565400844	0	48479at7147	602422_602530_-|601807_602360_-
4453at7147	Single	hap_ptg000276l_1	55682	87387	+	2801	737	0.521	0.8212824010914052	0	4453at7147	55683_55955_+|65636_65779_+|65839_66114_+|66554_66709_+|85126_87387_+
9084at7147	Single	hap_ptg000406l_1	874509	886627	+	3854	761	0.835	1.0	0	9084at7147	874510_874553_+|874675_874798_+|874868_876503_+|876575_876759_+|876825_877452_+|886500_886627_+
14626at7147	Single	hap_ptg000006l_1	3673890	3696385	+	2269	588	0.4719	0.9923736892278361	0	14626at7147	3673891_3674012_+|3689126_3689308_+|3689425_3689637_+|3689709_3690278_+|3690370_3691108_+|3694542_3696133_+|3696199_3696385_+
45320at7147	Single	hap_ptg000428l_1	244091	246662	+	802	235	0.5552	0.9735973597359736	0	45320at7147	244092_244175_+|245541_245790_+|246042_246315_+|246376_246662_+
59872at7147	Single	hap_ptg000443l_1	531363	531924	+	610	148	0.5936	1.0	0	59872at7147	531364_531924_+
11125at7147	Single	hap_ptg000160l_1	8684	19315	+	1279	420	0.4991	0.8885350318471338	0	11125at7147	8685_9876_+|10060_10220_+|10286_10383_+|19114_19315_+
39057at7147	Single	hap_ptg000013l_1	2774067	2797003	+	1552	376	0.6171	0.976545842217484	0	39057at7147	2774068_2774163_+|2788827_2789078_+|2789434_2789705_+|2796113_2796895_+|2796955_2797003_+
67792at7147	Single	hap_ptg000303l_1	333607	334284	+	585	106	0.888	1.0	0	67792at7147	333608_333661_+|333788_333869_+|333978_334183_+|334255_334284_+
4291at7147	Single	hap_ptg000269l_1	2730809	3060916	+	4433	867	0.7935	0.9572192513368984	0	4291at7147	2730810_2730878_+|2751084_2751204_+|2751769_2751902_+|2798526_2798608_+|2824208_2824310_+|2866957_2867062_+|2914889_2915018_+|2915650_2915771_+|2915874_2915956_+|2916355_2916490_+|2943462_2943618_+|2943718_2944110_+|2944947_2945066_+|2956830_2957192_+|2957277_2957466_+|2972375_2972590_+|2996338_2996445_+|3054440_3054568_+|3054774_3054973_+|3055256_3055395_+|3060828_3060916_+
20817at7147	Single	hap_ptg000036l_1	1170842	1181478	+	2216	456	0.75	0.9784172661870504	0	20817at7147	1170843_1171701_+|1171767_1172044_+|1180886_1180988_+|1181050_1181274_+|1181342_1181478_+
55235at7147	Single	hap_ptg000450l_1	1326528	1342822	+	957	322	0.4224	1.0	0	55235at7147	1326529_1326687_+|1326755_1327471_+|1342256_1342822_+
28253at7147	Single	hap_ptg000401l_1	2710495	2731710	+	1697	318	0.7995	0.7664670658682635	0	28253at7147	2710496_2711384_+|2711478_2711671_+|2731603_2731710_+
70439at7147	Single	hap_ptg000048l_1	229526	230273	-	679	131	0.95	1.0	0	70439at7147	230165_230273_-|229826_229896_-|229527_229766_-
76216at7147	Single	hap_ptg000319l_1	21132	22896	-	1207	289	0.5198	1.0	0	76216at7147	22879_22896_-|22229_22809_-|21133_22108_-
69541at7147	Single	hap_ptg000496l_1	1052851	1053205	-	322	100	0.5294	1.0	0	69541at7147	1052852_1053205_-
11987at7147	Single	hap_ptg000248l_1	651664	656617	+	3569	821	0.6095	0.9905749293119699	0	11987at7147	651665_652123_+|652228_652758_+|653944_654003_+|654065_654124_+|654274_655876_+|655949_656127_+|656186_656273_+|656337_656617_+
17764at7147	Single	hap_ptg000259l_1	3050613	3076954	+	2220	734	0.3852	1.0	0	17764at7147	3050614_3050704_+|3069109_3070149_+|3070206_3070331_+|3070798_3071213_+|3071296_3071794_+|3072071_3072268_+|3072485_3072563_+|3074407_3074657_+|3074729_3075048_+|3075316_3075658_+|3075723_3075898_+|3076515_3076954_+
48005at7147	Single	hap_ptg000449l_1	4151786	4153636	-	1000	202	0.5061	0.9680170575692963	0	48005at7147	4153527_4153636_-|4152897_4153434_-|4152703_4152773_-|4151787_4152468_-
18757at7147	Single	hap_ptg000272l_1	4590603	4592691	-	2777	550	0.7774	0.9528158295281582	0	18757at7147	4592087_4592691_-|4590604_4591936_-
396at7147	Single	hap_ptg000058l_1	3357867	3375765	+	11819	3786	0.442	1.0	0	396at7147	3357868_3357960_+|3358026_3358291_+|3358356_3364765_+|3365553_3366664_+|3366860_3374637_+|3374696_3375479_+|3375586_3375765_+
